number_of_capital_letters,number_of_special_characters,number_of_whitespaces,average_lenght_of_words,number_of_keywords,real_class
0,1,0,1,0,o
13,7,5,11,0,j
0,0,1,3,0,j
0,1,0,1,0,o
5,0,3,2,0,j
0,1,0,1,0,o
11,6,4,10,0,j
0,1,0,1,0,o
10,5,4,11,0,j
2,3,3,8,0,j
0,1,0,1,0,o
0,0,1,3,0,j
0,1,0,1,0,o
4,0,3,2,0,j
0,0,2,3,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
1,2,2,5,0,j
0,1,0,1,0,o
1,1,1,9,0,j
3,4,1,23,0,j
0,1,1,1,0,j
1,2,1,15,0,j
2,2,1,18,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,0,1,2,0,j
0,1,0,1,0,o
1,1,1,9,0,j
1,4,1,17,0,j
0,1,1,1,0,j
3,4,1,25,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
11,3,6,12,0,j
0,1,0,1,0,o
1,1,4,5,0,j
1,2,2,6,0,j
0,1,0,1,0,o
6,0,3,3,0,j
0,1,0,1,0,o
1,1,3,4,0,j
0,0,1,3,0,j
0,1,0,1,0,o
4,0,3,2,0,j
0,1,0,1,0,o
1,1,3,4,0,j
0,1,1,1,0,j
11,4,5,11,0,j
13,4,3,14,0,j
0,1,1,1,0,j
0,0,1,3,0,j
0,1,0,1,0,o
6,0,3,3,0,j
0,1,0,1,0,o
14,7,5,12,0,j
0,0,1,3,0,j
0,1,0,1,0,o
5,0,3,2,0,j
0,1,0,1,0,o
12,6,4,12,0,j
0,1,0,1,0,o
11,5,4,12,0,j
2,3,3,8,0,j
0,1,0,1,0,o
11,6,5,10,0,j
0,1,0,1,0,o
1,0,10,4,0,o
1,1,3,4,0,j
0,1,0,1,0,o
0,0,1,3,0,j
0,1,0,1,0,o
4,0,3,2,0,j
0,0,2,3,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
1,2,2,5,0,j
0,1,0,1,0,o
1,2,1,14,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
1,1,3,5,1,j
3,1,2,8,0,j
1,0,2,6,0,j
3,1,3,4,1,j
0,1,0,1,0,o
1,1,4,3,1,j
0,0,0,0,0,o
1,2,2,7,0,j
0,1,0,1,0,o
16,0,3,8,0,j
0,1,0,1,0,o
1,3,3,7,0,j
0,0,1,3,0,j
0,1,0,1,0,o
22,0,3,9,0,j
0,1,0,1,0,o
1,3,3,9,0,j
0,0,1,3,0,j
0,1,0,1,0,o
20,0,3,9,0,j
0,0,2,3,0,j
0,1,0,1,0,o
0,3,3,7,0,j
0,0,1,3,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,0,2,4,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
10,2,6,11,2,j
0,1,0,1,0,o
1,2,2,13,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
10,2,6,12,2,j
0,1,0,1,0,o
1,2,2,15,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
9,2,6,10,2,j
0,1,0,1,0,o
0,2,2,12,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
6,2,3,9,0,j
0,1,0,1,0,o
0,0,2,5,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,2,0,o
1,1,8,5,0,o
0,1,1,1,0,o
5,4,10,5,0,o
1,1,13,4,0,o
2,1,10,3,0,o
0,1,1,1,0,o
7,1,7,21,0,o
0,1,1,1,0,o
1,2,12,4,0,o
10,2,12,4,0,o
38,2,12,5,0,o
2,1,11,5,0,o
1,1,5,5,0,o
0,1,1,2,0,o
0,0,0,0,0,o
0,0,2,17,0,j
0,0,0,0,0,o
1,0,2,7,0,j
3,0,2,15,0,j
0,0,0,0,0,o
2,0,2,14,0,j
2,0,2,14,0,j
2,0,2,14,1,j
3,0,2,21,0,j
2,0,2,20,0,j
2,0,2,15,0,j
3,0,2,26,0,j
3,0,2,25,0,j
3,0,2,25,0,j
3,0,2,26,0,j
3,0,2,26,0,j
2,0,2,23,0,j
3,0,2,25,0,j
4,0,2,28,0,j
3,0,2,16,0,j
0,0,0,0,0,o
0,2,0,3,0,o
1,1,7,7,0,o
0,3,2,2,0,o
3,5,3,12,0,o
4,5,3,14,0,o
3,5,3,11,0,o
3,5,3,11,0,o
3,5,3,12,0,o
3,5,3,12,0,o
2,8,7,8,0,o
0,3,2,3,0,o
0,1,1,1,0,o
2,1,4,5,0,o
2,1,4,6,0,o
0,1,3,3,0,o
0,1,1,2,0,o
8,3,7,10,0,j
0,0,0,0,0,o
1,0,4,4,1,j
0,0,0,0,0,o
4,0,4,11,0,j
0,0,0,0,0,o
5,0,4,12,0,j
0,0,0,0,0,o
4,0,4,10,0,j
0,0,0,0,0,o
4,0,4,10,0,j
0,0,0,0,0,o
4,0,4,11,0,j
0,0,0,0,0,o
4,0,4,11,0,j
0,0,0,0,0,o
5,0,4,11,0,j
0,0,0,0,0,o
0,0,0,0,0,o
11,4,7,13,1,j
9,3,6,13,0,j
5,6,5,10,0,j
0,0,0,0,0,o
3,6,7,6,1,j
4,7,10,7,0,j
5,7,10,7,0,j
4,7,10,6,0,j
4,7,10,6,0,j
4,7,10,7,0,j
4,7,10,7,0,j
5,3,4,12,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,2,0,3,0,o
1,1,10,5,0,o
0,1,1,2,0,o
10,3,5,16,0,j
9,3,6,13,0,j
5,6,5,10,0,j
0,0,0,0,0,o
0,9,8,7,0,j
0,1,0,1,0,o
